Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,PromotionStagnation,IncomePerYearExp,CompanyTenureRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
41,1,1,2,2,3,4,5993,8,1,11,1,0,0,1,4,0.0,665.8888888888889,0.6666666666666666,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
49,0,8,1,3,2,2,5130,1,0,23,4,1,3,3,7,0.09090909090909091,466.3636363636364,0.9090909090909091,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
37,1,2,2,4,2,3,2090,6,1,15,2,0,3,3,0,0.0,261.25,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
33,0,3,4,4,3,3,2909,1,1,11,3,0,3,3,7,0.3333333333333333,323.22222222222223,0.8888888888888888,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,0,2,1,1,3,2,3468,9,0,12,4,1,3,3,2,0.6666666666666666,495.42857142857144,0.2857142857142857,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
32,0,2,2,4,3,4,3068,0,0,13,3,0,2,2,7,0.375,340.8888888888889,0.7777777777777778,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
59,0,3,3,3,4,1,2670,4,1,20,1,3,3,2,0,0.0,205.3846153846154,0.07692307692307693,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
30,0,24,1,4,3,3,2693,1,0,22,2,1,2,3,0,0.0,1346.5,0.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
38,0,23,3,4,2,3,9526,0,0,21,2,0,2,3,7,0.1,866.0,0.8181818181818182,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
36,0,27,3,3,3,3,5237,6,0,13,2,2,3,2,7,0.875,290.94444444444446,0.3888888888888889,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
